# x y z r g b
6 6 -8 242 205 170
-5 7 -8 242 205 170
-4 7 -8 242 205 170
-3 7 -8 242 205 170
-2 7 -8 242 205 170
-1 7 -8 242 205 170
0 7 -8 242 205 170
1 7 -8 242 205 170
2 7 -8 242 205 170
3 7 -8 242 205 170
4 7 -8 242 205 170
5 7 -8 242 205 170
-3 8 -8 75 45 35
-2 8 -8 75 45 35
-1 8 -8 75 45 35
0 8 -8 75 45 35
1 8 -8 75 45 35
2 8 -8 75 45 35
3 8 -8 75 45 35
-1 9 -8 75 45 35
0 9 -8 75 45 35
1 9 -8 75 45 35
-3 -10 -7 205 145 120
-2 -10 -7 205 145 120
-1 -10 -7 205 145 120
0 -10 -7 205 145 120
1 -10 -7 205 145 120
2 -10 -7 205 145 120
3 -10 -7 205 145 120
-5 -9 -7 205 145 120
-4 -9 -7 205 145 120
-3 -9 -7 205 145 120
-2 -9 -7 205 145 120
-1 -9 -7 205 145 120
0 -9 -7 205 145 120
1 -9 -7 205 145 120
2 -9 -7 205 145 120
3 -9 -7 205 145 120
4 -9 -7 205 145 120
5 -9 -7 205 145 120
-6 -8 -7 205 145 120
-5 -8 -7 205 145 120
-4 -8 -7 205 145 120
-3 -8 -7 205 145 120
-2 -8 -7 205 145 120
-1 -8 -7 205 145 120
0 -8 -7 205 145 120
1 -8 -7 205 145 120
2 -8 -7 205 145 120
3 -8 -7 205 145 120
4 -8 -7 205 145 120
5 -8 -7 205 145 120
6 -8 -7 205 145 120
-7 -7 -7 205 145 120
-6 -7 -7 205 145 120
-5 -7 -7 205 145 120
-4 -7 -7 205 145 120
-3 -7 -7 205 145 120
-2 -7 -7 205 145 120
-1 -7 -7 205 145 120
0 -7 -7 205 145 120
1 -7 -7 205 145 120
2 -7 -7 205 145 120
3 -7 -7 205 145 120
4 -7 -7 205 145 120
5 -7 -7 205 145 120
6 -7 -7 205 145 120
7 -7 -7 205 145 120
-7 -6 -7 242 205 170
-6 -6 -7 242 205 170
-5 -6 -7 242 205 170
-4 -6 -7 242 205 170
-3 -6 -7 242 205 170
-2 -6 -7 200 105 85
-1 -6 -7 200 105 85
0 -6 -7 200 105 85
1 -6 -7 200 105 85
2 -6 -7 200 105 85
3 -6 -7 242 205 170
4 -6 -7 242 205 170
5 -6 -7 242 205 170
6 -6 -7 242 205 170
7 -6 -7 242 205 170
-8 -5 -7 242 205 170
-7 -5 -7 242 205 170
-6 -5 -7 242 205 170
-5 -5 -7 242 205 170
-4 -5 -7 242 205 170
-3 -5 -7 200 105 85
-2 -5 -7 200 105 85
-1 -5 -7 200 105 85
0 -5 -7 200 105 85
1 -5 -7 200 105 85
2 -5 -7 200 105 85
3 -5 -7 200 105 85
4 -5 -7 242 205 170
5 -5 -7 242 205 170
6 -5 -7 242 205 170
7 -5 -7 242 205 170
8 -5 -7 242 205 170
-8 -4 -7 242 205 170
-7 -4 -7 242 205 170
-6 -4 -7 242 205 170
-5 -4 -7 242 205 170
-4 -4 -7 200 105 85
-3 -4 -7 200 105 85
-2 -4 -7 200 105 85
-1 -4 -7 200 105 85
0 -4 -7 200 105 85
1 -4 -7 200 105 85
2 -4 -7 200 105 85
3 -4 -7 200 105 85
4 -4 -7 200 105 85
5 -4 -7 242 205 170
6 -4 -7 242 205 170
7 -4 -7 242 205 170
8 -4 -7 242 205 170
-9 -3 -7 242 205 170
-8 -3 -7 242 205 170
-7 -3 -7 242 205 170
-6 -3 -7 242 205 170
-5 -3 -7 200 105 85
-4 -3 -7 200 105 85
-3 -3 -7 200 105 85
-2 -3 -7 200 105 85
-1 -3 -7 200 105 85
0 -3 -7 200 105 85
1 -3 -7 200 105 85
2 -3 -7 200 105 85
3 -3 -7 200 105 85
4 -3 -7 200 105 85
5 -3 -7 200 105 85
6 -3 -7 242 205 170
7 -3 -7 242 205 170
8 -3 -7 242 205 170
9 -3 -7 242 205 170
-9 -2 -7 242 205 170
-8 -2 -7 242 205 170
-7 -2 -7 242 205 170
-6 -2 -7 242 205 170
-5 -2 -7 200 105 85
-4 -2 -7 200 105 85
-3 -2 -7 200 105 85
-2 -2 -7 200 105 85
-1 -2 -7 200 105 85
0 -2 -7 200 105 85
1 -2 -7 200 105 85
2 -2 -7 200 105 85
3 -2 -7 200 105 85
4 -2 -7 200 105 85
5 -2 -7 200 105 85
6 -2 -7 242 205 170
7 -2 -7 242 205 170
8 -2 -7 242 205 170
9 -2 -7 242 205 170
-9 -1 -7 242 205 170
-8 -1 -7 242 205 170
-7 -1 -7 242 205 170
-6 -1 -7 242 205 170
-5 -1 -7 200 105 85
-4 -1 -7 200 105 85
-3 -1 -7 200 105 85
-2 -1 -7 200 105 85
-1 -1 -7 200 105 85
0 -1 -7 200 105 85
1 -1 -7 200 105 85
2 -1 -7 200 105 85
3 -1 -7 200 105 85
4 -1 -7 200 105 85
5 -1 -7 200 105 85
6 -1 -7 242 205 170
7 -1 -7 242 205 170
8 -1 -7 242 205 170
9 -1 -7 242 205 170
-9 0 -7 242 205 170
-8 0 -7 242 205 170
-7 0 -7 242 205 170
-6 0 -7 242 205 170
-5 0 -7 200 105 85
-4 0 -7 200 105 85
-3 0 -7 200 105 85
-2 0 -7 200 105 85
-1 0 -7 200 105 85
0 0 -7 200 105 85
1 0 -7 200 105 85
2 0 -7 200 105 85
3 0 -7 200 105 85
4 0 -7 200 105 85
5 0 -7 200 105 85
6 0 -7 242 205 170
7 0 -7 242 205 170
8 0 -7 242 205 170
9 0 -7 242 205 170
-9 1 -7 242 205 170
-8 1 -7 242 205 170
-7 1 -7 242 205 170
-6 1 -7 242 205 170
-5 1 -7 200 105 85
-4 1 -7 200 105 85
-3 1 -7 200 105 85
-2 1 -7 200 105 85
-1 1 -7 200 105 85
0 1 -7 200 105 85
1 1 -7 200 105 85
2 1 -7 200 105 85
3 1 -7 200 105 85
4 1 -7 200 105 85
5 1 -7 200 105 85
6 1 -7 242 205 170
7 1 -7 242 205 170
8 1 -7 242 205 170
9 1 -7 242 205 170
-9 2 -7 242 205 170
-8 2 -7 242 205 170
-7 2 -7 242 205 170
-6 2 -7 242 205 170
-5 2 -7 200 105 85
-4 2 -7 200 105 85
-3 2 -7 200 105 85
-2 2 -7 200 105 85
-1 2 -7 200 105 85
0 2 -7 200 105 85
1 2 -7 200 105 85
2 2 -7 200 105 85
3 2 -7 200 105 85
4 2 -7 200 105 85
5 2 -7 200 105 85
6 2 -7 242 205 170
7 2 -7 242 205 170
8 2 -7 242 205 170
9 2 -7 242 205 170
-9 3 -7 242 205 170
-8 3 -7 242 205 170
-7 3 -7 242 205 170
-6 3 -7 242 205 170
-5 3 -7 200 105 85
-4 3 -7 200 105 85
-3 3 -7 200 105 85
-2 3 -7 200 105 85
-1 3 -7 200 105 85
0 3 -7 200 105 85
1 3 -7 200 105 85
2 3 -7 200 105 85
3 3 -7 200 105 85
4 3 -7 200 105 85
5 3 -7 200 105 85
6 3 -7 242 205 170
7 3 -7 242 205 170
8 3 -7 242 205 170
9 3 -7 242 205 170
-8 4 -7 242 205 170
-7 4 -7 242 205 170
-6 4 -7 242 205 170
-5 4 -7 242 205 170
-4 4 -7 200 105 85
-3 4 -7 200 105 85
-2 4 -7 200 105 85
-1 4 -7 200 105 85
0 4 -7 200 105 85
1 4 -7 200 105 85
2 4 -7 200 105 85
3 4 -7 200 105 85
4 4 -7 200 105 85
5 4 -7 242 205 170
6 4 -7 242 205 170
7 4 -7 242 205 170
8 4 -7 242 205 170
-8 5 -7 242 205 170
-7 5 -7 242 205 170
-6 5 -7 242 205 170
-5 5 -7 242 205 170
-4 5 -7 242 205 170
-3 5 -7 200 105 85
-2 5 -7 200 105 85
-1 5 -7 200 105 85
0 5 -7 200 105 85
1 5 -7 200 105 85
2 5 -7 200 105 85
3 5 -7 200 105 85
4 5 -7 242 205 170
5 5 -7 242 205 170
6 5 -7 242 205 170
7 5 -7 242 205 170
8 5 -7 242 205 170
-7 6 -7 242 205 170
-6 6 -7 242 205 170
-5 6 -7 242 205 170
-4 6 -7 242 205 170
-3 6 -7 242 205 170
-2 6 -7 200 105 85
-1 6 -7 200 105 85
0 6 -7 200 105 85
1 6 -7 200 105 85
2 6 -7 200 105 85
3 6 -7 242 205 170
4 6 -7 242 205 170
5 6 -7 242 205 170
6 6 -7 242 205 170
7 6 -7 242 205 170
-7 7 -7 242 205 170
-6 7 -7 242 205 170
-5 7 -7 242 205 170
-4 7 -7 242 205 170
-3 7 -7 242 205 170
-2 7 -7 242 205 170
-1 7 -7 242 205 170
0 7 -7 242 205 170
1 7 -7 242 205 170
2 7 -7 242 205 170
3 7 -7 242 205 170
4 7 -7 242 205 170
5 7 -7 242 205 170
6 7 -7 242 205 170
7 7 -7 242 205 170
-6 8 -7 75 45 35
-5 8 -7 75 45 35
-4 8 -7 75 45 35
-3 8 -7 75 45 35
-2 8 -7 75 45 35
-1 8 -7 75 45 35
0 8 -7 75 45 35
1 8 -7 75 45 35
2 8 -7 75 45 35
3 8 -7 75 45 35
4 8 -7 75 45 35
5 8 -7 75 45 35
6 8 -7 75 45 35
-5 9 -7 75 45 35
-4 9 -7 75 45 35
-3 9 -7 75 45 35
-2 9 -7 75 45 35
-1 9 -7 75 45 35
0 9 -7 75 45 35
1 9 -7 75 45 35
2 9 -7 75 45 35
3 9 -7 75 45 35
4 9 -7 75 45 35
5 9 -7 75 45 35
-3 10 -7 75 45 35
-2 10 -7 75 45 35
-1 10 -7 75 45 35
0 10 -7 75 45 35
1 10 -7 75 45 35
2 10 -7 75 45 35
3 10 -7 75 45 35
-3 -11 -6 205 145 120
-2 -11 -6 205 145 120
-1 -11 -6 205 145 120
0 -11 -6 205 145 120
1 -11 -6 205 145 120
2 -11 -6 205 145 120
3 -11 -6 205 145 120
-5 -10 -6 205 145 120
-4 -10 -6 205 145 120
-3 -10 -6 205 145 120
-2 -10 -6 205 145 120
-1 -10 -6 205 145 120
0 -10 -6 205 145 120
1 -10 -6 205 145 120
2 -10 -6 205 145 120
3 -10 -6 205 145 120
4 -10 -6 205 145 120
5 -10 -6 205 145 120
-6 -9 -6 205 145 120
-5 -9 -6 205 145 120
-4 -9 -6 205 145 120
-3 -9 -6 205 145 120
-2 -9 -6 205 145 120
-1 -9 -6 205 145 120
0 -9 -6 205 145 120
1 -9 -6 205 145 120
2 -9 -6 205 145 120
3 -9 -6 205 145 120
4 -9 -6 205 145 120
5 -9 -6 205 145 120
6 -9 -6 205 145 120
-7 -8 -6 205 145 120
-6 -8 -6 205 145 120
-5 -8 -6 205 145 120
-4 -8 -6 205 145 120
-3 -8 -6 205 145 120
-2 -8 -6 200 105 85
-1 -8 -6 200 105 85
0 -8 -6 200 105 85
1 -8 -6 200 105 85
2 -8 -6 200 105 85
3 -8 -6 205 145 120
4 -8 -6 205 145 120
5 -8 -6 205 145 120
6 -8 -6 205 145 120
7 -8 -6 205 145 120
-8 -7 -6 205 145 120
-7 -7 -6 205 145 120
-6 -7 -6 205 145 120
-5 -7 -6 205 145 120
-4 -7 -6 200 105 85
-3 -7 -6 200 105 85
-2 -7 -6 200 105 85
-1 -7 -6 200 105 85
0 -7 -6 200 105 85
1 -7 -6 200 105 85
2 -7 -6 200 105 85
3 -7 -6 200 105 85
4 -7 -6 200 105 85
5 -7 -6 205 145 120
6 -7 -6 205 145 120
7 -7 -6 205 145 120
8 -7 -6 205 145 120
-8 -6 -6 242 205 170
-7 -6 -6 242 205 170
-6 -6 -6 242 205 170
-5 -6 -6 200 105 85
-4 -6 -6 200 105 85
-3 -6 -6 200 105 85
-2 -6 -6 200 105 85
-1 -6 -6 200 105 85
0 -6 -6 200 105 85
1 -6 -6 200 105 85
2 -6 -6 200 105 85
3 -6 -6 200 105 85
4 -6 -6 200 105 85
5 -6 -6 200 105 85
6 -6 -6 242 205 170
7 -6 -6 242 205 170
8 -6 -6 242 205 170
-9 -5 -6 242 205 170
-8 -5 -6 242 205 170
-7 -5 -6 242 205 170
-6 -5 -6 242 205 170
-5 -5 -6 200 105 85
-4 -5 -6 200 105 85
-3 -5 -6 200 105 85
-2 -5 -6 200 105 85
-1 -5 -6 200 105 85
0 -5 -6 200 105 85
1 -5 -6 200 105 85
2 -5 -6 200 105 85
3 -5 -6 200 105 85
4 -5 -6 200 105 85
5 -5 -6 200 105 85
6 -5 -6 242 205 170
7 -5 -6 242 205 170
8 -5 -6 242 205 170
9 -5 -6 242 205 170
-9 -4 -6 242 205 170
-8 -4 -6 242 205 170
-7 -4 -6 242 205 170
-6 -4 -6 200 105 85
-5 -4 -6 200 105 85
-4 -4 -6 200 105 85
-3 -4 -6 200 105 85
-2 -4 -6 200 105 85
-1 -4 -6 200 105 85
0 -4 -6 200 105 85
1 -4 -6 200 105 85
2 -4 -6 200 105 85
3 -4 -6 200 105 85
4 -4 -6 200 105 85
5 -4 -6 200 105 85
6 -4 -6 200 105 85
7 -4 -6 242 205 170
8 -4 -6 242 205 170
9 -4 -6 242 205 170
-10 -3 -6 242 205 170
-9 -3 -6 242 205 170
-8 -3 -6 242 205 170
-7 -3 -6 242 205 170
-6 -3 -6 200 105 85
-5 -3 -6 200 105 85
-4 -3 -6 200 105 85
-3 -3 -6 200 105 85
-2 -3 -6 200 105 85
-1 -3 -6 200 105 85
0 -3 -6 200 105 85
1 -3 -6 200 105 85
2 -3 -6 200 105 85
3 -3 -6 200 105 85
4 -3 -6 200 105 85
5 -3 -6 200 105 85
6 -3 -6 200 105 85
7 -3 -6 242 205 170
8 -3 -6 242 205 170
9 -3 -6 242 205 170
10 -3 -6 242 205 170
-10 -2 -6 242 205 170
-9 -2 -6 242 205 170
-8 -2 -6 242 205 170
-7 -2 -6 200 105 85
-6 -2 -6 200 105 85
-5 -2 -6 200 105 85
-4 -2 -6 200 105 85
-3 -2 -6 200 105 85
-2 -2 -6 200 105 85
-1 -2 -6 200 105 85
0 -2 -6 200 105 85
1 -2 -6 200 105 85
2 -2 -6 200 105 85
3 -2 -6 200 105 85
4 -2 -6 200 105 85
5 -2 -6 200 105 85
6 -2 -6 200 105 85
7 -2 -6 200 105 85
8 -2 -6 242 205 170
9 -2 -6 242 205 170
10 -2 -6 242 205 170
-10 -1 -6 242 205 170
-9 -1 -6 242 205 170
-8 -1 -6 242 205 170
-7 -1 -6 200 105 85
-6 -1 -6 200 105 85
-5 -1 -6 200 105 85
-4 -1 -6 200 105 85
-3 -1 -6 200 105 85
-2 -1 -6 200 105 85
-1 -1 -6 200 105 85
0 -1 -6 200 105 85
1 -1 -6 200 105 85
2 -1 -6 200 105 85
3 -1 -6 200 105 85
4 -1 -6 200 105 85
5 -1 -6 200 105 85
6 -1 -6 200 105 85
7 -1 -6 200 105 85
8 -1 -6 242 205 170
9 -1 -6 242 205 170
10 -1 -6 242 205 170
-10 0 -6 242 205 170
-9 0 -6 242 205 170
-8 0 -6 242 205 170
-7 0 -6 200 105 85
-6 0 -6 200 105 85
-5 0 -6 200 105 85
-4 0 -6 200 105 85
-3 0 -6 200 105 85
-2 0 -6 200 105 85
-1 0 -6 200 105 85
0 0 -6 200 105 85
1 0 -6 200 105 85
2 0 -6 200 105 85
3 0 -6 200 105 85
4 0 -6 200 105 85
5 0 -6 200 105 85
6 0 -6 200 105 85
7 0 -6 200 105 85
8 0 -6 242 205 170
9 0 -6 242 205 170
10 0 -6 242 205 170
-10 1 -6 242 205 170
-9 1 -6 242 205 170
-8 1 -6 242 205 170
-7 1 -6 200 105 85
-6 1 -6 200 105 85
-5 1 -6 200 105 85
-4 1 -6 200 105 85
-3 1 -6 200 105 85
-2 1 -6 200 105 85
-1 1 -6 200 105 85
0 1 -6 200 105 85
1 1 -6 200 105 85
2 1 -6 200 105 85
3 1 -6 200 105 85
4 1 -6 200 105 85
5 1 -6 200 105 85
6 1 -6 200 105 85
7 1 -6 200 105 85
8 1 -6 242 205 170
9 1 -6 242 205 170
10 1 -6 242 205 170
-10 2 -6 242 205 170
-9 2 -6 242 205 170
-8 2 -6 242 205 170
-7 2 -6 200 105 85
-6 2 -6 200 105 85
-5 2 -6 200 105 85
-4 2 -6 200 105 85
-3 2 -6 200 105 85
-2 2 -6 200 105 85
-1 2 -6 200 105 85
0 2 -6 200 105 85
1 2 -6 200 105 85
2 2 -6 200 105 85
3 2 -6 200 105 85
4 2 -6 200 105 85
5 2 -6 200 105 85
6 2 -6 200 105 85
7 2 -6 200 105 85
8 2 -6 242 205 170
9 2 -6 242 205 170
10 2 -6 242 205 170
-10 3 -6 242 205 170
-9 3 -6 242 205 170
-8 3 -6 242 205 170
-7 3 -6 242 205 170
-6 3 -6 200 105 85
-5 3 -6 200 105 85
-4 3 -6 200 105 85
-3 3 -6 200 105 85
-2 3 -6 200 105 85
-1 3 -6 200 105 85
0 3 -6 200 105 85
1 3 -6 200 105 85
2 3 -6 200 105 85
3 3 -6 200 105 85
4 3 -6 200 105 85
5 3 -6 200 105 85
6 3 -6 200 105 85
7 3 -6 242 205 170
8 3 -6 242 205 170
9 3 -6 242 205 170
10 3 -6 242 205 170
-9 4 -6 242 205 170
-8 4 -6 242 205 170
-7 4 -6 242 205 170
-6 4 -6 200 105 85
-5 4 -6 200 105 85
