# x y z r g b
-17 -7 1 180 210 230
-17 -7 2 180 210 230
-17 -7 3 180 210 230
-17 -7 4 180 210 230
-17 -7 5 180 210 230
-17 -7 6 180 210 230
-17 -7 7 180 210 230
-17 -7 8 180 210 230
-17 -7 9 180 210 230
-17 -7 10 180 210 230
-17 -6 -13 180 210 230
-17 -6 -12 180 210 230
-17 -6 -11 180 210 230
-17 -6 -10 180 210 230
-17 -6 -9 180 210 230
-17 -6 9 180 210 230
-17 -6 10 180 210 230
-17 -6 11 180 210 230
-17 -6 12 180 210 230
-17 -6 13 180 210 230
-16 -8 -7 180 210 230
-16 -8 -6 180 210 230
-16 -8 -5 180 210 230
-16 -8 -4 180 210 230
-16 -8 -3 180 210 230
-16 -8 -2 180 210 230
-16 -8 -1 180 210 230
-16 -8 0 180 210 230
-16 -8 1 180 210 230
-16 -8 2 180 210 230
-16 -8 3 180 210 230
-16 -8 4 180 210 230
-16 -8 5 180 210 230
-16 -8 6 180 210 230
-16 -8 7 180 210 230
-16 -7 -11 180 210 230
-16 -7 -10 180 210 230
-16 -7 -9 180 210 230
-16 -7 -8 180 210 230
-16 -7 -7 180 210 230
-16 -7 -6 180 210 230
-16 -7 6 180 210 230
-16 -7 7 180 210 230
-16 -7 8 180 210 230
-16 -7 9 180 210 230
-16 -7 10 180 210 230
-16 -7 11 180 210 230
-16 -6 -15 180 210 230
-16 -6 -14 180 210 230
-16 -6 -13 180 210 230
-16 -6 -12 180 210 230
-16 -6 -11 180 210 230
-16 -6 11 180 210 230
-16 -6 12 180 210 230
-16 -6 13 180 210 230
-16 -6 14 180 210 230
-16 -6 15 180 210 230
-15 -9 -4 180 210 230
-15 -9 -3 180 210 230
-15 -9 -2 180 210 230
-15 -9 -1 180 210 230
-15 -9 0 180 210 230
-15 -9 1 180 210 230
-15 -9 2 180 210 230
-15 -9 3 180 210 230
-15 -9 4 180 210 230
-15 -8 -9 180 210 230
-15 -8 -8 180 210 230
-15 -8 -7 180 210 230
-15 -8 -6 180 210 230
-15 -8 -5 180 210 230
-15 -8 -4 180 210 230
-15 -8 -3 180 210 230
-15 -8 -2 180 210 230
-15 -8 -1 180 210 230
-15 -8 0 180 210 230
-15 -8 1 180 210 230
-15 -8 2 180 210 230
-15 -8 3 180 210 230
-15 -8 4 180 210 230
-15 -8 5 180 210 230
-15 -8 6 180 210 230
-15 -8 7 180 210 230
-15 -8 8 180 210 230
-15 -8 9 180 210 230
-15 -7 -13 180 210 230
-15 -7 -12 180 210 230
-15 -7 -11 180 210 230
-15 -7 -10 180 210 230
-15 -7 -9 180 210 230
-15 -7 -8 180 210 230
-15 -7 8 180 210 230
-15 -7 9 180 210 230
-15 -7 10 180 210 230
-15 -7 11 180 210 230
-15 -7 12 180 210 230
-15 -7 13 180 210 230
-15 -6 -16 180 210 230
-15 -6 -15 180 210 230
-15 -6 -14 180 210 230
-15 -6 -13 180 210 230
-15 -6 -12 180 210 230
-15 -6 12 180 210 230
-15 -6 13 180 210 230
-15 -6 14 180 210 230
-15 -6 15 180 210 230
-15 -6 16 180 210 230
-14 -12 -2 190 210 80
-14 -9 -6 180 210 230
-14 -9 -5 180 210 230
-14 -9 -4 180 210 230
-14 -9 -3 180 210 230
-14 -9 -2 180 210 230
-14 -9 -1 180 210 230
-14 -9 0 180 210 230
-14 -9 1 180 210 230
-14 -9 2 180 210 230
-14 -9 3 180 210 230
-14 -9 4 180 210 230
-14 -9 5 180 210 230
-14 -9 6 180 210 230
-14 -8 -10 180 210 230
-14 -8 -9 180 210 230
-14 -8 -8 180 210 230
-14 -8 -7 180 210 230
-14 -8 -6 180 210 230
-14 -8 -5 180 210 230
-14 -8 5 180 210 230
-14 -8 6 180 210 230
-14 -8 7 180 210 230
-14 -8 8 180 210 230
-14 -8 9 180 210 230
-14 -8 10 180 210 230
-14 -7 -14 180 210 230
-14 -7 -13 180 210 230
-14 -7 -12 180 210 230
-14 -7 -11 180 210 230
-14 -7 -10 180 210 230
-14 -7 10 180 210 230
-14 -7 11 180 210 230
-14 -7 12 180 210 230
-14 -7 13 180 210 230
-14 -7 14 180 210 230
-14 -6 -16 180 210 230
-14 -6 -15 180 210 230
-14 -6 -14 180 210 230
-14 -6 -13 180 210 230
-14 -6 13 180 210 230
-14 -6 14 180 210 230
-14 -6 15 180 210 230
-14 -6 16 180 210 230
-13 -15 -3 190 210 80
-13 -15 -2 190 210 80
-13 -15 -1 190 210 80
-13 -14 -4 190 210 80
-13 -14 -3 190 210 80
-13 -14 -2 190 210 80
-13 -14 -1 190 210 80
-13 -14 0 190 210 80
-13 -13 -4 190 210 80
-13 -13 -3 230 230 150
-13 -13 -2 230 230 150
-13 -13 -1 230 230 150
-13 -13 0 190 210 80
-13 -12 -5 190 210 80
-13 -12 -4 190 210 80
-13 -12 -3 230 230 150
-13 -12 -2 230 230 150
-13 -12 -1 230 230 150
-13 -12 0 190 210 80
-13 -12 1 190 210 80
-13 -11 -4 190 210 80
-13 -11 -3 230 230 150
-13 -11 -2 230 230 150
-13 -11 -1 230 230 150
-13 -11 0 190 210 80
-13 -10 -4 190 210 80
-13 -10 -3 190 210 80
-13 -10 -2 190 210 80
-13 -10 -1 190 210 80
-13 -10 0 190 210 80
-13 -10 1 180 210 230
-13 -10 2 180 210 230
-13 -10 3 180 210 230
-13 -9 -8 180 210 230
-13 -9 -7 180 210 230
-13 -9 -6 180 210 230
-13 -9 -5 180 210 230
-13 -9 -4 180 210 230
-13 -9 -3 190 210 80
-13 -9 -2 190 210 80
-13 -9 -1 190 210 80
-13 -9 0 180 210 230
-13 -9 1 180 210 230
-13 -9 2 180 210 230
-13 -9 3 180 210 230
-13 -9 4 180 210 230
-13 -9 5 180 210 230
-13 -9 6 180 210 230
-13 -9 7 180 210 230
-13 -9 8 180 210 230
-13 -8 -12 180 210 230
-13 -8 -11 180 210 230
-13 -8 -10 180 210 230
-13 -8 -9 180 210 230
-13 -8 -8 180 210 230
-13 -8 -7 180 210 230
-13 -8 7 180 210 230
-13 -8 8 180 210 230
-13 -8 9 180 210 230
-13 -8 10 180 210 230
-13 -8 11 180 210 230
-13 -8 12 180 210 230
-13 -7 -15 180 210 230
-13 -7 -14 180 210 230
-13 -7 -13 180 210 230
-13 -7 -12 180 210 230
-13 -7 -11 180 210 230
-13 -7 11 180 210 230
-13 -7 12 180 210 230
-13 -7 13 180 210 230
-13 -7 14 180 210 230
-13 -7 15 180 210 230
-13 -6 -17 180 210 230
-13 -6 -16 180 210 230
-13 -6 -15 180 210 230
-13 -6 -14 180 210 230
-13 -6 14 180 210 230
-13 -6 15 180 210 230
-13 -6 16 180 210 230
-13 -6 17 180 210 230
-12 -16 -4 190 210 80
-12 -16 -3 190 210 80
-12 -16 -2 190 210 80
-12 -16 -1 190 210 80
-12 -16 0 190 210 80
-12 -15 -5 190 210 80
-12 -15 -4 190 210 80
-12 -15 -3 230 230 150
-12 -15 -2 230 230 150
-12 -15 -1 230 230 150
-12 -15 0 190 210 80
-12 -15 1 190 210 80
-12 -14 -5 190 210 80
-12 -14 -4 230 230 150
-12 -14 -3 230 230 150
-12 -14 -2 230 230 150
-12 -14 -1 230 230 150
-12 -14 0 230 230 150
-12 -14 1 190 210 80
-12 -13 -5 190 210 80
-12 -13 -4 230 230 150
-12 -13 -3 230 230 150
-12 -13 -2 230 230 150
-12 -13 -1 230 230 150
-12 -13 0 230 230 150
-12 -13 1 190 210 80
-12 -12 -5 230 230 150
-12 -12 -4 230 230 150
-12 -12 -3 230 230 150
-12 -12 -2 230 230 150
-12 -12 -1 230 230 150
-12 -12 0 230 230 150
-12 -12 1 230 230 150
-12 -12 2 190 210 80
-12 -11 -5 190 210 80
-12 -11 -4 230 230 150
-12 -11 -3 230 230 150
-12 -11 -2 230 230 150
-12 -11 -1 230 230 150
-12 -11 0 230 230 150
-12 -11 1 190 210 80
-12 -10 -6 180 210 230
-12 -10 -5 190 210 80
-12 -10 -4 230 230 150
-12 -10 -3 230 230 150
-12 -10 -2 230 230 150
-12 -10 -1 230 230 150
-12 -10 0 230 230 150
-12 -10 1 190 210 80
-12 -10 2 180 210 230
-12 -10 3 180 210 230
-12 -10 4 180 210 230
-12 -10 5 180 210 230
-12 -10 6 180 210 230
-12 -9 -10 180 210 230
-12 -9 -9 180 210 230
-12 -9 -8 180 210 230
-12 -9 -7 180 210 230
-12 -9 -6 180 210 230
-12 -9 -5 190 210 80
-12 -9 -4 190 210 80
-12 -9 -3 230 230 150
-12 -9 -2 230 230 150
-12 -9 -1 230 230 150
-12 -9 0 190 210 80
-12 -9 1 190 210 80
-12 -9 4 180 210 230
-12 -9 5 180 210 230
-12 -9 6 180 210 230
-12 -9 7 180 210 230
-12 -9 8 180 210 230
-12 -9 9 180 210 230
-12 -9 10 180 210 230
-12 -8 -13 180 210 230
-12 -8 -12 180 210 230
-12 -8 -11 180 210 230
-12 -8 -10 180 210 230
-12 -8 -9 180 210 230
-12 -8 -4 190 210 80
-12 -8 -3 190 210 80
-12 -8 -2 190 210 80
-12 -8 -1 190 210 80
-12 -8 0 190 210 80
-12 -8 9 180 210 230
-12 -8 10 180 210 230
-12 -8 11 180 210 230
-12 -8 12 180 210 230
-12 -8 13 180 210 230
-12 -7 -15 180 210 230
-12 -7 -14 180 210 230
-12 -7 -13 180 210 230
-12 -7 -12 180 210 230
-12 -7 12 180 210 230
-12 -7 13 180 210 230
-12 -7 14 180 210 230
-12 -7 15 180 210 230
-12 -6 -18 180 210 230
-12 -6 -17 180 210 230
-12 -6 -16 180 210 230
-12 -6 -15 180 210 230
-12 -6 15 180 210 230
-12 -6 16 180 210 230
-12 -6 17 180 210 230
-12 -6 18 180 210 230
-11 -16 -5 190 210 80
-11 -16 -4 190 210 80
-11 -16 -3 230 230 150
-11 -16 -2 230 230 150
-11 -16 -1 230 230 150
-11 -16 0 190 210 80
-11 -16 1 190 210 80
-11 -15 -5 190 210 80
-11 -15 -4 230 230 150
-11 -15 -3 230 230 150
-11 -15 -2 230 230 150
-11 -15 -1 230 230 150
-11 -15 0 230 230 150
-11 -15 1 190 210 80
-11 -14 -5 230 230 150
-11 -14 -4 230 230 150
-11 -14 -3 230 230 150
-11 -14 -2 230 230 150
-11 -14 -1 230 230 150
-11 -14 0 230 230 150
-11 -14 1 230 230 150
-11 -14 2 190 210 80
-11 -13 -5 230 230 150
-11 -13 -4 230 230 150
-11 -13 -3 230 230 150
-11 -13 -2 230 230 150
-11 -13 -1 230 230 150
-11 -13 0 230 230 150
-11 -13 1 230 230 150
-11 -13 2 190 210 80
-11 -12 -5 230 230 150
-11 -12 -4 230 230 150
-11 -12 -3 230 230 150
-11 -12 -2 80 50 20
-11 -12 -1 230 230 150
-11 -12 0 230 230 150
-11 -12 1 230 230 150
-11 -12 2 190 210 80
-11 -11 -5 230 230 150
-11 -11 -4 230 230 150
-11 -11 -3 230 230 150
-11 -11 -2 230 230 150
-11 -11 -1 230 230 150
-11 -11 0 230 230 150
-11 -11 1 230 230 150
-11 -11 2 190 210 80
-11 -10 -7 180 210 230
-11 -10 -6 180 210 230
-11 -10 -5 230 230 150
-11 -10 -4 230 230 150
-11 -10 -3 230 230 150
-11 -10 -2 230 230 150
-11 -10 -1 230 230 150
-11 -10 0 230 230 150
-11 -10 1 230 230 150
-11 -10 2 190 210 80
-11 -10 3 180 210 230
-11 -10 4 180 210 230
-11 -10 5 180 210 230
-11 -10 6 180 210 230
-11 -10 7 180 210 230
-11 -9 -11 180 210 230
-11 -9 -10 180 210 230
-11 -9 -9 180 210 230
-11 -9 -8 180 210 230
-11 -9 -7 180 210 230
-11 -9 -5 190 210 80
-11 -9 -4 230 230 150
-11 -9 -3 230 230 150
-11 -9 -2 230 230 150
-11 -9 -1 230 230 150
-11 -9 0 230 230 150
-11 -9 1 190 210 80
-11 -9 7 180 210 230
-11 -9 8 180 210 230
-11 -9 9 180 210 230
-11 -9 10 180 210 230
-11 -9 11 180 210 230
-11 -8 -13 180 210 230
-11 -8 -12 180 210 230
-11 -8 -11 180 210 230
-11 -8 -10 180 210 230
-11 -8 -5 190 210 80
-11 -8 -4 190 210 80
-11 -8 -3 230 230 150
-11 -8 -2 230 230 150
-11 -8 -1 230 230 150
-11 -8 0 190 210 80
-11 -8 1 190 210 80
-11 -8 10 180 210 230
-11 -8 11 180 210 230
-11 -8 12 180 210 230
-11 -8 13 180 210 230
-11 -7 -16 180 210 230
-11 -7 -15 180 210 230
-11 -7 -14 180 210 230
-11 -7 -13 180 210 230
-11 -7 -3 190 210 80
-11 -7 -2 190 210 80
-11 -7 -1 190 210 80
-11 -7 13 180 210 230
-11 -7 14 180 210 230
-11 -7 15 180 210 230
-11 -7 16 180 210 230
-11 -6 -19 180 210 230
-11 -6 -18 180 210 230
-11 -6 -17 180 210 230
-11 -6 -16 180 210 230
-11 -6 16 180 210 230
-11 -6 17 180 210 230
-11 -6 18 180 210 230
-11 -6 19 180 210 230
-10 -16 -5 190 210 80
-10 -16 -4 230 230 150
-10 -16 -3 230 230 150
-10 -16 -2 230 230 150
-10 -16 -1 230 230 150
-10 -16 0 230 230 150
-10 -16 1 190 210 80
-10 -15 -5 230 230 150
-10 -15 -4 230 230 150
-10 -15 -3 230 230 150
-10 -15 -2 230 230 150
-10 -15 -1 230 230 150
-10 -15 0 230 230 150
-10 -15 1 230 230 150
-10 -15 2 190 210 80
-10 -14 -5 230 230 150
-10 -14 -4 230 230 150
-10 -14 -3 80 50 20
-10 -14 -2 80 50 20
-10 -14 -1 80 50 20
-10 -14 0 230 230 150
-10 -14 1 230 230 150
-10 -14 2 190 210 80
-10 -13 -5 230 230 150
-10 -13 -4 230 230 150
-10 -13 -3 80 50 20
-10 -13 -2 80 50 20
-10 -13 -1 80 50 20
-10 -13 0 230 230 150
-10 -13 1 230 230 150
-10 -13 2 230 230 150
-10 -12 -5 230 230 150
-10 -12 -4 230 230 150
-10 -12 -3 80 50 20
-10 -12 -2 60 30 10
-10 -12 -1 80 50 20
-10 -12 0 230 230 150
-10 -12 1 230 230 150
-10 -12 2 230 230 150
-10 -11 -5 230 230 150
-10 -11 -4 230 230 150
-10 -11 -3 80 50 20
-10 -11 -2 80 50 20
-10 -11 -1 80 50 20
-10 -11 0 230 230 150
-10 -11 1 230 230 150
-10 -11 2 230 230 150
-10 -11 3 180 210 230
-10 -11 4 180 210 230
-10 -11 5 180 210 230
-10 -10 -9 180 210 230
-10 -10 -8 180 210 230
-10 -10 -7 180 210 230
-10 -10 -6 180 210 230
-10 -10 -5 230 230 150
-10 -10 -4 230 230 150
-10 -10 -3 80 50 20
-10 -10 -2 80 50 20
-10 -10 -1 80 50 20
-10 -10 0 230 230 150
-10 -10 1 230 230 150
-10 -10 2 190 210 80
-10 -10 4 180 210 230
-10 -10 5 180 210 230
-10 -10 6 180 210 230
-10 -10 7 180 210 230
-10 -10 8 180 210 230
-10 -10 9 180 210 230
-10 -9 -12 180 210 230
-10 -9 -11 180 210 230
-10 -9 -10 180 210 230
-10 -9 -9 180 210 230
-10 -9 -8 180 210 230
-10 -9 -5 230 230 150
-10 -9 -4 230 230 150
-10 -9 -3 230 230 150
-10 -9 -2 230 230 150
-10 -9 -1 230 230 150
-10 -9 0 230 230 150
-10 -9 1 230 230 150
-10 -9 2 190 210 80
-10 -9 8 180 210 230
-10 -9 9 180 210 230
-10 -9 10 180 210 230
-10 -9 11 180 210 230
-10 -9 12 180 210 230
-10 -8 -14 180 210 230
-10 -8 -13 180 210 230
-10 -8 -12 180 210 230
-10 -8 -11 180 210 230
-10 -8 -5 190 210 80
-10 -8 -4 230 230 150
-10 -8 -3 230 230 150
-10 -8 -2 230 230 150
-10 -8 -1 230 230 150
-10 -8 0 230 230 150
-10 -8 1 190 210 80
-10 -8 11 180 210 230
-10 -8 12 180 210 230
-10 -8 13 180 210 230
-10 -8 14 180 210 230
-10 -7 -17 180 210 230
-10 -7 -16 180 210 230
-10 -7 -15 180 210 230
-10 -7 -14 180 210 230
-10 -7 -4 190 210 80
-10 -7 -3 190 210 80
-10 -7 -2 190 210 80
-10 -7 -1 190 210 80
-10 -7 0 190 210 80
-10 -7 14 180 210 230
-10 -7 15 180 210 230
-10 -7 16 180 210 230
-10 -7 17 180 210 230
-10 -6 -19 180 210 230
-10 -6 -18 180 210 230
-10 -6 -17 180 210 230
-10 -6 17 180 210 230
-10 -6 18 180 210 230
-10 -6 19 180 210 230
-9 -16 -5 190 210 80
-9 -16 -4 230 230 150
-9 -16 -3 230 230 150
-9 -16 -2 230 230 150
-9 -16 -1 230 230 150
-9 -16 0 230 230 150
-9 -16 1 190 210 80
-9 -15 -5 230 230 150
-9 -15 -4 230 230 150
-9 -15 -3 230 230 150
-9 -15 -2 80 50 20
-9 -15 -1 230 230 150
-9 -15 0 230 230 150
-9 -15 1 230 230 150
-9 -15 2 190 210 80
-9 -14 -5 230 230 150
-9 -14 -4 230 230 150
-9 -14 -3 80 50 20
-9 -14 -2 80 50 20
-9 -14 -1 80 50 20
-9 -14 0 230 230 150
-9 -14 1 230 230 150
-9 -14 2 190 210 80
-9 -13 -5 230 230 150
-9 -13 -4 230 230 150
-9 -13 -3 80 50 20
-9 -13 -2 60 30 10
-9 -13 -1 80 50 20
-9 -13 0 230 230 150
-9 -13 1 230 230 150
-9 -13 2 230 230 150
-9 -12 -5 230 230 150
-9 -12 -4 80 50 20
-9 -12 -3 60 30 10
-9 -12 -2 60 30 10
-9 -12 -1 60 30 10
-9 -12 0 80 50 20
-9 -12 1 230 230 150
-9 -12 2 230 230 150
-9 -12 3 190 210 80
-9 -11 -6 180 210 230
-9 -11 -5 230 230 150
-9 -11 -4 230 230 150
-9 -11 -3 80 50 20
-9 -11 -2 60 30 10
-9 -11 -1 80 50 20
-9 -11 0 230 230 150
-9 -11 1 230 230 150
-9 -11 2 230 230 150
-9 -11 3 180 210 230
-9 -11 4 180 210 230
-9 -11 5 180 210 230
-9 -11 6 180 210 230
-9 -10 -10 180 210 230
-9 -10 -9 180 210 230
-9 -10 -8 180 210 230
-9 -10 -7 180 210 230
-9 -10 -6 180 210 230
-9 -10 -5 230 230 150
-9 -10 -4 230 230 150
-9 -10 -3 80 50 20
-9 -10 -2 80 50 20
-9 -10 -1 80 50 20
-9 -10 0 230 230 150
-9 -10 1 230 230 150
-9 -10 2 190 210 80
-9 -10 6 180 210 230
-9 -10 7 180 210 230
-9 -10 8 180 210 230
-9 -10 9 180 210 230
-9 -10 10 180 210 230
-9 -9 -12 180 210 230
-9 -9 -11 180 210 230
-9 -9 -10 180 210 230
-9 -9 -9 180 210 230
-9 -9 -5 230 230 150
-9 -9 -4 230 230 150
-9 -9 -3 230 230 150
-9 -9 -2 80 50 20
-9 -9 -1 230 230 150
-9 -9 0 230 230 150
-9 -9 1 230 230 150
-9 -9 2 190 210 80
-9 -9 9 180 210 230
-9 -9 10 180 210 230
-9 -9 11 180 210 230
-9 -9 12 180 210 230
-9 -8 -15 180 210 230
-9 -8 -14 180 210 230
-9 -8 -13 180 210 230
-9 -8 -12 180 210 230
-9 -8 -5 190 210 80
-9 -8 -4 230 230 150
-9 -8 -3 230 230 150
-9 -8 -2 230 230 150
-9 -8 -1 230 230 150
-9 -8 0 230 230 150
-9 -8 1 190 210 80
-9 -8 12 180 210 230
-9 -8 13 180 210 230
-9 -8 14 180 210 230
-9 -8 15 180 210 230
-9 -7 -17 180 210 230
-9 -7 -16 180 210 230
-9 -7 -15 180 210 230
-9 -7 -4 190 210 80
-9 -7 -3 190 210 80
-9 -7 -2 230 230 150
-9 -7 -1 190 210 80
-9 -7 0 190 210 80
-9 -7 15 180 210 230
-9 -7 16 180 210 230
-9 -7 17 180 210 230
-9 -6 -20 180 210 230
-9 -6 -19 180 210 230
-9 -6 -18 180 210 230
-9 -6 -17 180 210 230
-9 -6 17 180 210 230
-9 -6 18 180 210 230
-9 -6 19 180 210 230
-9 -6 20 180 210 230
-9 -5 -2 100 70 30
-9 -5 -1 100 70 30
-9 -4 -2 100 70 30
-9 -4 -1 100 70 30
-9 -3 -2 100 70 30
-9 -3 -1 100 70 30
-8 -16 -5 190 210 80
-8 -16 -4 230 230 150
-8 -16 -3 230 230 150
-8 -16 -2 230 230 150
-8 -16 -1 230 230 150
-8 -16 0 230 230 150
-8 -16 1 190 210 80
-8 -15 -5 230 230 150
-8 -15 -4 230 230 150
-8 -15 -3 230 230 150
-8 -15 -2 230 230 150
-8 -15 -1 230 230 150
-8 -15 0 230 230 150
-8 -15 1 230 230 150
-8 -15 2 190 210 80
-8 -14 -5 230 230 150
-8 -14 -4 230 230 150
-8 -14 -3 80 50 20
-8 -14 -2 80 50 20
-8 -14 -1 80 50 20
-8 -14 0 230 230 150
-8 -14 1 230 230 150
-8 -14 2 190 210 80
-8 -13 -5 230 230 150
-8 -13 -4 230 230 150
-8 -13 -3 80 50 20
-8 -13 -2 80 50 20
-8 -13 -1 80 50 20
-8 -13 0 230 230 150
-8 -13 1 230 230 150
-8 -13 2 230 230 150
-8 -12 -5 230 230 150
-8 -12 -4 230 230 150
-8 -12 -3 80 50 20
-8 -12 -2 60 30 10
-8 -12 -1 80 50 20
-8 -12 0 230 230 150
-8 -12 1 230 230 150
-8 -12 2 230 230 150
-8 -12 3 180 210 230
-8 -12 4 180 210 230
-8 -11 -8 180 210 230
-8 -11 -7 180 210 230
-8 -11 -6 180 210 230
-8 -11 -5 230 230 150
-8 -11 -4 230 230 150
-8 -11 -3 80 50 20
-8 -11 -2 80 50 20
-8 -11 -1 80 50 20
-8 -11 0 230 230 150
-8 -11 1 230 230 150
-8 -11 2 230 230 150
-8 -11 3 180 210 230
-8 -11 4 180 210 230
-8 -11 5 180 210 230
-8 -11 6 180 210 230
-8 -11 7 180 210 230
-8 -11 8 180 210 230
-8 -10 -10 180 210 230
-8 -10 -9 180 210 230
-8 -10 -8 180 210 230
-8 -10 -7 180 210 230
-8 -10 -5 230 230 150
-8 -10 -4 230 230 150
-8 -10 -3 80 50 20
-8 -10 -2 80 50 20
-8 -10 -1 80 50 20
-8 -10 0 230 230 150
-8 -10 1 230 230 150
-8 -10 2 190 210 80
-8 -10 7 180 210 230
-8 -10 8 180 210 230
-8 -10 9 180 210 230
-8 -10 10 180 210 230
-8 -9 -13 180 210 230
-8 -9 -12 180 210 230
-8 -9 -11 180 210 230
-8 -9 -10 180 210 230
-8 -9 -5 230 230 150
-8 -9 -4 230 230 150
-8 -9 -3 230 230 150
-8 -9 -2 230 230 150
-8 -9 -1 230 230 150
-8 -9 0 230 230 150
-8 -9 1 230 230 150
-8 -9 2 190 210 80
-8 -9 10 180 210 230
-8 -9 11 180 210 230
-8 -9 12 180 210 230
-8 -9 13 180 210 230
-8 -8 -15 180 210 230
-8 -8 -14 180 210 230
-8 -8 -13 180 210 230
-8 -8 -5 190 210 80
-8 -8 -4 230 230 150
-8 -8 -3 230 230 150
-8 -8 -2 230 230 150
-8 -8 -1 230 230 150
-8 -8 0 230 230 150
-8 -8 1 190 210 80
-8 -8 13 180 210 230
-8 -8 14 180 210 230
-8 -8 15 180 210 230
-8 -7 -18 180 210 230
-8 -7 -17 180 210 230
-8 -7 -16 180 210 230
-8 -7 -15 180 210 230
-8 -7 -4 190 210 80
-8 -7 -3 190 210 80
-8 -7 -2 190 210 80
-8 -7 -1 190 210 80
-8 -7 0 190 210 80
-8 -7 15 180 210 230
-8 -7 16 180 210 230
-8 -7 17 180 210 230
-8 -7 18 180 210 230
-8 -6 -20 180 210 230
-8 -6 -19 180 210 230
-8 -6 -18 180 210 230
-8 -6 18 180 210 230
-8 -6 19 180 210 230
-8 -6 20 180 210 230
-7 -16 -5 190 210 80
-7 -16 -4 190 210 80
-7 -16 -3 230 230 150
-7 -16 -2 230 230 150
-7 -16 -1 230 230 150
-7 -16 0 190 210 80
-7 -16 1 190 210 80
-7 -15 -5 190 210 80
-7 -15 -4 230 230 150
-7 -15 -3 230 230 150
-7 -15 -2 230 230 150
-7 -15 -1 230 230 150
-7 -15 0 230 230 150
-7 -15 1 190 210 80
-7 -14 -5 230 230 150
-7 -14 -4 230 230 150
-7 -14 -3 230 230 150
-7 -14 -2 230 230 150
-7 -14 -1 230 230 150
-7 -14 0 230 230 150
-7 -14 1 230 230 150
-7 -14 2 190 210 80
-7 -13 -5 230 230 150
-7 -13 -4 230 230 150
-7 -13 -3 230 230 150
-7 -13 -2 230 230 150
-7 -13 -1 230 230 150
